Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~DeepPlankter_main.PrjPcb|ReportField=ProjectFullPath~C:\ProgramData\Altium\CircuitMaker {BA657615-14D7-4D23-BE90-ECA23E6CE23B}\Projects\14B7AC5A-9C3F-450A-BE9C-41717958E82D\bba2cfcc-89ec-4ac1-bc65-a815e1a7209c\DeepPlankter_main.PrjPcb|ReportField=Title~BOM_PartType For Project [DeepPlankter_main.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~257|ReportField=ReportTime~16:03:12|ReportField=ReportDate~2021/1/24|ReportField=ReportDateTime~2021/1/24 16:03:12|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~DeepPlankter_main.PrjPcb|ReportField=DataSourceFullPath~C:\ProgramData\Altium\CircuitMaker {BA657615-14D7-4D23-BE90-ECA23E6CE23B}\Projects\14B7AC5A-9C3F-450A-BE9C-41717958E82D\bba2cfcc-89ec-4ac1-bc65-a815e1a7209c\DeepPlankter_main.PrjPcb
PCF8574DGVR|Remote 8-Bit I/O Expander for I2C-Bus, 2.5 to 6 V, -40 to 85 degC, 20-pin TVSOP (DGV), Green (RoHS & no Sb/Br)|U1|DGV20_L|CMP-4873507-2|1
Microchip MIC5504-2.8YM5-TR|Single 300mA LDO with Enable Pull-Down & Auto Discharge 5 SOT-23 T/R RoHS Compliant: Yes|U2|PCB-87v9kgqs8q23ekp4z6f0-1|CMP-260decfc55bff9ca-2|1
Microchip MIC5504-1.2|Single 300mA LDO with Enable Pull-Down & Auto Discharge 5 SOT-23 T/R RoHS Compliant: Yes|U3|PCB-87v9kgqs8q23ekp4z6f0-1|CMP-260decfc55bff9ca-2|1
Texas Instruments INA199A3RSWT|26-V, Bi-Directional, Zero-Drift, Low- or High-Side, Voltage Output Current Shunt Monitor 6-SC70 -40 to 125|U4, U5, U6, U11, U12, U14, U15|PCB-dzg43p1s5wcf61j10amz-1|CMP-0f05c77d0cddd0c2-11|7
TCAN330GDCN|3.3-V CAN Transceivers with CAN FD (Flexible Data Rate) 8-SOT-23 -40 to 125|U7|PCB-dudqu7qvc0a2juw3nqi5-1|CMP-a47f694d5ac37bb8-2|1
STMicroelectronics STM32H7A3ZIT6|STM32H Series 2 MB Flash 1.4 MB SRAM 280 MHz 32-Bit Microcontroller - LQFP-144|U8|PCB-qnuz4odb3kjwuv0h32wq-1|CMP-79c4b6aa4662a603-3|1
SN65220DBVR|Single Universal Serial Bus Port Transient Suppressor, 2 Channels, -40 to +85 degC, 6-pin SOT-23 (DBV), Green (RoHS & no Sb/Br)|U9|DBV6_M|CMP-13588204-2|1
LTC4359IMS8#TRPBF|Ideal Diode Controller with Reverse Input Protection, 4 to 80 V Vin, 8-pin SOP (MS8-8), -40 to 85 degC, Pb-Free, Tape and Reel|U10, U13|LT-MS8-8_L|CMP-3088331-2|2
Texas Instruments LMR33640DDDAR|SIMPLE SWITCHER Synchronous Step-Down Converter 3.8V to 36V Input 4A 8-Pin SO PowerPAD T/R|U16, U17|PCB-6od3ifqvrl04n4lmrw41-1|CMP-bb02745c510e64c5-3|2
BME280|Pressure, Temperature and Humidity Sensor Digital Output 1.8V 8-Pin LGA T/R|U18|PCB-pz4u251hci7fplawf7tn-1|CMP-19345792-15|1
Bosch Tools BMI088|BMI088 Series 3.6 V 6 Axis Digital Output Accelerometer Motion Sensor - LGA-16|U19|PCB-rx9ouf6ws7u2trts4ghn-1|CMP-3c8ff0f6eb07e348-2|1
Honeywell HMC5883L-TR|MAGNETIC SENSOR ON TAPE AND REEL|U20|PCB-2968744-2|CMP-2968744-5|1
MT25QL256ABA1EW7-0SIT|NOR Flash Serial-SPI 3.3V 256Mbit 256M x 1bit 8-Pin WPDFN|U21|Micron W7 PDFN-8 MLP-8|CMP-fb1530fa0f9224d2-1|1
Abracon ASDMB-10.000MHZ-LC-T|Oscillator MEMS 24MHz ?°¿50ppm (Stability) 15pF 55% 1.8V/2.5V/3.3V Automotive 4-Pin QFN SMD T/R|X1|PCB-wrjz21e0na9s1qg4p3ls-1|CMP-6748af096d52b88f-1|1
Abracon ABS07-32.768KHZ-9-T|ABS07 Series 32.768 kHz °¿20 ppm 9 pF -40 to +85 °„C SMT Low Profile Crystal|X2|CAPC3215X09N|CMP-ab256225872974e2-3|1
Abracon ABM10-166-12.000MHZ-T3|Crystal 12.00mhz 8pf Low Esr Smd 2.5x2.0|X3|PCBComponent_1 - duplicate|CMP-ad1c606f542d72db-7|1
