timestamp,cpu_load,sys_ram,sys_sd,sys_volt,sys_curr,sys_pwr,sys_vbat,mcu_temp,gyro_temp,bat_v0,bat_i0,bat_ich0,bat_t0,bat_soc0,bat_v1,bat_i1,bat_ich1,bat_t1,bat_soc1,esc_i,serv_i1,serv_i2,eular_x,eular_y,eular_z,pressure,humidity,air_temp,servo1_ang,servo2_ang,esc_thr,gnss_lat,gnss_lon,gnss_speed,gnss_alt,gnss_course,gnss_sat
1646585600,0.00,0.000,0.000,2.503,0.0868,0.6961,2.9831,24.0,19.000,8.0398,-0.0505,0.0000,0.0000,0.0000,7.9812,-0.0355,0.0008,0.0000,0.0000,0.0030,0.0183,0.0174,6.13,2.48,-111.58,102363.58,31.84,21.883,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585601,0.00,0.000,0.000,2.503,0.1251,1.0030,2.9828,24.1,19.000,8.0418,-0.0744,-0.0007,0.0000,0.0000,7.9799,-0.0509,0.0005,0.0000,0.0000,0.0034,0.0192,0.0170,6.12,2.55,-111.65,102360.49,31.80,21.873,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585602,0.00,0.000,0.000,2.502,0.1246,0.9990,2.9832,24.1,19.125,8.0395,-0.0762,-0.0007,0.0000,0.0000,7.9804,-0.0495,-0.0004,0.0000,0.0000,0.0002,0.0197,0.0145,6.12,2.62,-111.62,102365.13,31.76,21.859,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585603,0.00,0.000,0.000,2.501,0.1192,0.9551,2.9832,24.1,19.125,8.0393,-0.0668,0.0003,0.0000,0.0000,7.9779,-0.0511,0.0006,0.0000,0.0000,0.0034,0.0190,0.0158,6.14,2.46,-111.52,102363.44,31.73,21.843,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585604,0.00,0.000,0.000,2.503,0.1021,0.8186,2.9816,24.0,19.000,8.0389,-0.0603,0.0006,0.0000,0.0000,7.9793,-0.0403,0.0010,0.0000,0.0000,0.0012,0.0192,0.0175,6.05,2.73,-111.46,102367.64,31.68,21.857,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585605,0.00,0.000,0.000,2.502,0.1419,1.1370,2.9831,24.1,19.000,8.0390,-0.0867,0.0002,0.0000,0.0000,7.9768,-0.0547,0.0003,0.0000,0.0000,0.0006,0.0208,0.0181,6.14,2.56,-111.45,102362.68,31.64,21.821,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585606,0.00,0.000,0.000,2.501,0.1571,1.2588,2.9848,23.8,19.000,8.0398,-0.0909,-0.0000,0.0000,0.0000,7.9754,-0.0647,0.0015,0.0000,0.0000,-0.0007,0.0203,0.0179,6.09,2.55,-111.53,102366.06,31.56,21.839,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585607,0.00,0.000,0.000,2.501,0.1857,1.4880,2.9833,23.9,19.000,8.0393,-0.1075,-0.0003,0.0000,0.0000,7.9746,-0.0746,0.0039,0.0000,0.0000,-0.0029,0.0193,0.0172,6.13,2.48,-111.54,102366.55,31.51,21.838,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585608,0.00,0.000,0.000,2.501,0.1796,1.4386,2.9845,23.7,19.000,8.0373,-0.1062,0.0004,0.0000,0.0000,7.9761,-0.0701,0.0029,0.0000,0.0000,-0.0010,0.0199,0.0178,6.13,2.63,-111.45,102354.91,31.43,21.783,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585609,0.00,18.829,0.119,2.502,0.1696,1.3589,2.9825,23.8,19.000,8.0380,-0.0927,0.0011,0.0000,0.0000,7.9766,-0.0739,0.0020,0.0000,0.0000,0.0021,0.0169,0.0165,6.20,2.55,-111.48,102365.34,31.37,21.828,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
